㐷	horse; knight
周庄镇	Zhouzhuang, old canal town between Shanghai and Suzhou, tourist attraction
周恩来	Zhou Enlai , Chinese communist leader, prime minister 1949-1976
周敦颐	Zhou Dunyi , Song dynasty neo-Confucian scholar
周日圈	diurnal circle
周期性	periodic
周期数	periodic number
周期系	periodic system
周期表	periodic table
周期解	periodic solution
周杰伦	Jay Chou , Taiwanese pop star
周永康	Zhou Yongkang , PRC petroleum engineer and politician
周润发	Chow Yun-Fat , Hong Kong TV and film star
周渝民	Zhou Yumin or Vic Zhou , Taiwan singer and actor, member of pop group F4
周王朝	the Zhou dynasty from 1027 BC
周瘦鹃	Zhou Shoujuan , writer, translator and art collector in Suzhou, a victim of the Cultural Revolution
周穆王	King Mu, fifth king of Zhou, said to have lived to 105 and reigned 976-922 BC or 1001-947 BC, rich in associated mythology
周立波	Zhou Libo , Chinese stand-up comedian
周转金	revolving fund
呫吨酮	xanthone
呱呱叫	excellent
味之素	Ajinomoto, Japanese food and chemical corporation
味噌汤	miso soup
呼伦湖	Hulun Lake of Inner Mongolia
呼叫器	pager; beeper
呼叫声	whoop
呼吸器	ventilator
呼吸机	ventilator
呼吸管	snorkel
呼吸道	respiratory tract
呼呼声	whir
呼哱哱	hoopoe
呼啦啦	flapping sound
呼啦圈	hula hoop
呼噜噜	snore
呼拉圈	hula hoop
命中率	hit rate
命令列	command line
命令句	imperative sentence
命令行	command line
命名日	name day
命名法	nomenclature
命理学	divination; divinatory art
咀嚼肌	muscles of mastication
和乐蟹	Hele crab
和事佬	peacemaker; mediator
和平区	Heping or Peace district
和平里	Hepingli neighborhood of Beijing
和平队	Peace Corps
和平鸟	Asian fairy-bluebird
和平鸽	dove of peace
和散那	Hosanna
和歌山	Wakayama
和田河	Hotan River in Xinjiang
和田玉	nephrite
和稀泥	try to smooth things over
和解费	money settlement
和谐号	CRH-series high-speed trains operated by China Railway
和谐性	compatibility
咏叹调	aria
咏春拳	Yongchun - "Singing Spring Fist"
咕咕叫	sound made by an empty stomach
咕咾肉	sweet and sour meat
咕噜肉	sweet and sour meat
咖啡厅	coffee shop
咖啡因	caffeine
咖啡壶	coffee pot
咖啡室	coffee shop
咖啡屋	coffee house
咖啡师	barista
咖啡店	café
咖啡机	coffee machine; coffee maker
咖啡色	coffee color
咖啡豆	coffee beans
咖啡馆	café; coffee shop
咖喱粉	curry powder
咝咝声	hissing sound
咨询员	advisor; consultant
咬唇妆	bitten-lips look
咬甲癖	onychophagia
咬耳朵	whisper in sb's ear
咯咯哒	chicken
咯咯笑	chuckle
咸丝丝	slightly salty
咸丰草	hairy beggarticks
咸兴市	Hamhung, North Korea
咸水妹	prostitute from Guangdong
咸水湖	salt lake
咸津津	nice and salty
咸猪手	pervert
咸阳桥	Xianyang Bridge
咸鸭蛋	salted duck egg
咽峡炎	angina
咽鼓管	Eustachian tube
品丽珠	Cabernet Franc
品川区	Shinagawa district of Tokyo
品趣志	Pinterest
哇沙比	wasabi
哇沙米	wasabi
哈丰角	Cape Ras Hafun, Somalia, the easternmost point in Africa
哈伦裤	harem pants
哈努卡	Hanukkah , 8 day Jewish holiday starting on the 25th day of Kislev
哈吉斯	haggis
哈哈笑	laugh out loud
哈哈镜	distorting mirror
哈喇子	saliva
哈基米	cat
哈士奇	husky
哈士蟆	Chinese brown frog
哈奴曼	Hanuman, a monkey God in the Indian epic Ramayana
哈季奇	Goran Hadžić , Croatian Serb leader until 1994, indicted war criminal
哈密瓜	Hami melon
哈尔登	Halden
哈尼族	Hani ethnic group
哈巴狗	pekingese
哈得斯	Hades
哈德斯	Hades
哈拉子	saliva
哈拉雷	Harare, capital of Zimbabwe
哈摩辣	Gomorrah
哈日族	Japanophile
哈比人	Hobbit
哈灵根	Harlingen, the Netherlands
哈瓦那	Havana, capital of Cuba
哈罗德	Harold, Harald, Harrod
哈莱姆	Harlem district of Manhattan
哈萨克	Kazakh ethnic group
哈蒙德	Hammond
哈西纳	Ms Sheikh Hasina , Bangladesh politician, prime minister 1996-2001 and from 2009
哈该书	Book of Haggai
哈贝尔	Harbel
哈迪斯	Hades
哈里发	caliph
哈马斯	Hamas
哌替啶	pethidine
响叮当	tinkle
响尾蛇	rattlesnake
响当当	resounding
哑巴亏	pent-up unspoken grievances
哑终端	dumb terminal
哗啦啦	crashing sound
哥伦布	Columbus, capital of Ohio
哥利亚	Goliath
哥吉拉	Godzilla
哥布林	goblin
哥德堡	Gothenburg
哥德式	Gothic style
哥斯拉	Godzilla
哥林多	Corinth, city in Greece
哥特人	Goth
哥特式	Gothic
哥白尼	Mikolaj Kopernik or Nicolaus Copernicus , Polish astronomer, mathematician and polymath
哥罗芳	chloroform; trichloromethane CHCl3
哥老会	late-Qing underground resistance movement against the Qing dynasty
哥萨克	Cossack
哦买嘎	oh my God!
哨子声	whistling sound
哪一个	which
哪知道	who would have thought that ...?
哪门子	what
哭丧棒	mourning staff draped in white, held at a funeral to show filial piety
哭丧脸	long face; miserable look
哭秋风	autumnal sadness
哭鼻子	snivel
哮喘病	asthma
哲人石	philosopher's stone
哲学史	history of philosophy
哲学家	philosopher
哲蚌寺	Drepung monastery, Lhasa, Tibet
哺乳期	breastfeeding period
哺乳类	mammals
哺乳纲	Mammalia, the class of mammals
哺母乳	breastfeeding
唇形科	Labiatae, the taxonomic family including lavender, mint
唇线笔	lip liner
唇颚裂	cleft lip and palate
唇齿音	labiodental
唐人街	Chinatown
唐宁街	Downing Street
唐家山	area in Beichuan county Sichuan
唐家璇	Tang Jiaxuan , politician and diplomat
唐手道	Tang soo do
唐氏儿	child with Down syndrome
唐氏症	Down syndrome
唐纳德	Donald
唐绍仪	Tang Shaoyi , politician and diplomat
唐老鸭	Donald Duck
唧筒座	Antlia
售票口	ticket window
售票员	ticket seller
售票处	ticket office
售货台	vendor's stall
售货员	sales clerk; sales associate; retail salesperson
唯一性	uniqueness
唯心论	philosophy of idealism, the doctrine that external reality is a product of consciousness
唯物论	materialism
唯理论	rationalism
唯识宗	Yogachara school of Buddhism
唱作人	singer-songwriter
唱双簧	sing a duet
唱反调	express a different view
唱白脸	play the role of the villain
唱红脸	play the role of the hero
唱诗班	choir
唱高调	sing the high part
唱黑脸	play the role of the strict parent
唾液腺	salivary gland
唿喇喇	roar of the wind
啃老族	adults still living with and depending on their parents
啄木鸟	woodpecker
啄花鸟	flowerpecker
商业化	commercialize
商业区	business district
商务舱	business class
商务部	Department of Trade
商君书	The Book of Lord Shang, Legalist text of the 4th century BC
商品化	commodification
商品粮	commodity grain
商学院	business school
商纣王	King Zhou of Shang , notorious as a cruel tyrant
啤酒厂	brewery
啤酒肚	beer belly
啤酒节	Beer Festival
啤酒花	hops
啦啦队	cheerleading squad
啪啪啪	have sex
啮齿目	order of rodents
啮齿类	rodents
喀喇沁	Harqin
喀土穆	Khartoum, capital of Sudan
喀奴特	Knuth or Canute
喀尔喀	Khalkha, largest subgroup of Mongol people
喀布尔	Kabul, capital of Afghanistan
喀斯特	karst
喀秋莎	Katyusha
喀麦隆	Cameroon
喂母乳	breastfeeding
善言辞	articulate
喇叭形	flared; funnel-shape; trumpet-shape
喇叭花	morning glory
喇叭裙	flared skirt
喇叭裤	flared trousers
喇嘛庙	lamasery
喇嘛教	Lamaism; Tibetan Buddhism
喉塞音	glottal stop
喉擦音	guttural fricative
喊话器	megaphone
喘不过	be unable to breathe easily
喘吁吁	puff and blow
喘粗气	pant heavily
喜冲冲	beam with joy
喜吟吟	joyful
喜孜孜	pleased; happy
喜当爹	become a stepfather when one's partner turns out to be pregnant with a child she conceived with another lover
喜憨儿	intellectually impaired child or youth
喜来登	Sheraton
喜洋洋	radiant with joy
喜滋滋	pleased
喜盈盈	happy
喜群游	gregarious
喜群飞	gregarious
喝倒彩	boo or jeer
喝断片	get blackout drunk
喵星人	cat
喷丝头	spinneret
喷出岩	extrusive rock
喷嚏剂	sternutator
喷射机	jet plane
喷气式	jet-propelled
喷气机	jet plane
喷水壶	watering can
喷水池	a fountain
喷洒器	sprinkler; sprayer
喷火器	flamethrower
喷雾器	sprayer; atomizer
喷鼻息	snort
喹诺酮	quinolone
嗅探犬	sniffer dog
嗓子眼	throat
嗓门眼	throat
嗜睡症	hypersomnia
嗡嗡叫	hum
嗡嗡声	hum
嗡嗡弹	buzzing bomb
嗵嗵鼓	tom-tom
嘈杂声	noise
嘉义县	Jiayi or Chiayi County in west Taiwan
嘉义市	Chiayi city in central Taiwan
嘉士伯	Carlsberg
嘉定区	Jiading district of northwest Shanghai
嘉宝果	jaboticaba; Brazilian grape tree
嘉尔曼	Carmen
嘉峪关	Jiayu Pass in Gansu, at the western terminus of the Great Wall
嘉年华	carnival
嘉陵江	Jialing River in Sichuan
嘎拉哈	knucklebones
嘟嘟车	tuk-tuk
嘴不严	have a loose tongue
嘴啃泥	fall flat on one's face
嘴巴子	slap
嘴皮子	lips
嘶哑声	hoarse
嘶嘶声	hissing or sizzling sound
噢买嘎	oh my God!
噤声令	gag order
器质性	organic
噪音盒	boombox
噬菌体	bacteriophage; phage
噶举派	Geju sect of Tibetan Buddhist
噶啷啷	hum and clatter
噶布伦	Tibetan government official
噶当派	Bkar-dgam-pa sect of Tibetan Buddhism
噶玛兰	Kavalan, one of the indigenous peoples of Taiwan
嚼劲儿	chewiness
嚼舌头	gossip
嚼舌根	gossip
囚锢锋	occluded front
四一二	12th April
四下里	all around
四不像	farrago
四元数	quaternion
四分卫	quarterback
四分历	"quarter remainder" calendar, the first calculated Chinese calendar, in use from the Warring States period until the early years of the Han dynasty
四县腔	Sixian dialect of Hakka Chinese
四叶草	four-leaf clover
四合院	courtyard house with a fully enclosed courtyard
四国犬	Shikoku
四圣谛	the Four Noble Truths
四头肌	quadriceps muscle group
四季豆	green bean
四小龙	Four Asian Tigers
四强赛	semifinals
四方步	a slow march
四方脸	square-jawed face
四日市	Yokkaichi
四旬斋	Lent
四旬节	First Sunday of Lent
四月份	April
四物汤	four-substance decoction , tonic formula used in Chinese medicine
四环素	tetracycline
四碳糖	tetrose 4, monosaccharide with four carbon atoms
四脚蛇	lizard
四角形	quadrangle; quadrilateral
四角裤	boxer shorts
四边形	quadrilateral
四部曲	tetralogy
四重奏	quartet
四面体	tetrahedron
四驱车	four-by-four
回光镜	concave reflector
回力球	jai alai; cesta punta
回力镖	boomerang
回南天	weather phenomenon characterized by condensation of warm moist air on cool surfaces during the transition from winter to spring in Southern China
回合制	turn-based
回回青	Mohammedan blue
回墨印	self-inking stamp
回头客	repeat customer
回头率	percentage of repeat customers
回头见	See you!
回头路	the road back to where one came from
回娘家	return to her parental home
回归年	the solar year
回归热	recurring fever
回归线	tropic
回形针	paper clip
回忆录	memoir
回执单	receipt
回收站	recycle bin
回教徒	Muslim
回旋处	traffic circle; rotary; roundabout
回旋曲	rondo
回旋镖	boomerang
回族人	Hui person
回纹针	paper clip
回老家	go back to one's roots
回良玉	Hui Liangyu PRC Hui national career politician from Guilin, background in economics, politburo member 2002-2012, deputy chair of State Council 2003-2013
回车符	"carriage return" character
回车键	enter key; return key
回铃音	ringback tone
回锅油	reused cooking oil
回锅肉	twice-cooked pork
回顾展	retrospective
回马枪	sudden thrust
囟脑门	fontanel
因变数	dependent variable
因变量	dependent variable
因如此	because of this
因特网	Internet
因纽特	Inuit
因陀罗	Indra
团体行	group travel
团团转	go round and round
团拜会	New Year reception
园游会	garden party; fete ; carnival; fair
围产期	perinatal period
围术期	perioperative period
固体胶	glue stick
固定点	fixed point
固形物	solid particles in liquid
固形量	drained weight
固有词	native words
国产化	localize
国会山	Capitol Hill, Washington, D.C.
国内外	domestic and international
国内线	domestic flight
国务卿	Secretary of State
国务院	State Council
国台办	Taiwan Affairs Office of the State Council
国大党	Indian Congress party
国子监	Guozijian, the highest educational administrative body in imperial China, in some dynasties also functioning as the highest institution of academic research and learning
国字脸	square face
国安部	PRC Ministry of State Security
国家级	national-level
国家队	national team
国宾馆	state guesthouse
国庆日	national day
国庆节	PRC National Day
国库券	treasury bond
国徽法	Law on the National Emblem of the PRC, promulgated in 1991
国有化	nationalization
国标舞	international standard ballroom dancing
国槐树	locust tree
国民党	Guomindang or Kuomintang
国界线	national border
国资委	State-owned Assets Supervision and Administration Commission
国防色	khaki; military camouflage colors
国防部	Defense Department
国际化	internationalize
国际性	international
国际歌	The Internationale
国际法	international law
国际级	international level
图书馆	library
图卢兹	Toulouse
图卢斯	Toulouse
图尔库	Turku
图形卡	graphics card
图林根	Thuringia
图灵奖	Turing Award
图灵机	Turing machine
图片报	Bild-Zeitung
图瓦卢	Tuvalu
图西族	Tutsi, an ethnic group in Rwanda and Burundi
圆函数	circular function; trigonometric function
圆周率	the ratio of the circumference of a circle to its diameter
